dataset,retained_budget,method_left,method_right,intersection,union,jaccard,left_ECov_slot,right_ECov_slot,left_delta_NLL,right_delta_NLL,left_EAR,right_EAR
RULER-16K,0.25,TOVAPress,AdaKVPress,37,260,0.1423076923076923,0.6383883883883884,0.41665102602602605,0.12739191434859778,0.15803743692879366,0.24016850299292575,
RULER-16K,0.25,TOVAPress,QuantizedCache,166,883,0.18799546998867497,0.44506916555109327,1.0,0.7588132597260704,2.6645941766097403,0.14499052684101704,
RULER-16K,0.25,KeyDiffPress,ChunkKVPress_Knorm,219,496,0.4415322580645161,0.2986541835785557,0.3261077287332995,1.1981908804319006,1.5758076786375488,0.06146566426129762,
RULER-16K,0.25,KeyDiffPress,AdaKVPress,37,361,0.10249307479224377,0.7901510885885886,0.4379676551551552,0.049240007316372965,0.14067944179336003,0.14402925151645876,
RULER-16K,0.25,KeyDiffPress,QuantizedCache,261,889,0.29358830146231724,0.3552482439335888,1.0,1.0661225068454945,2.4065140741181668,0.06809168429029397,
RULER-16K,0.25,ChunkKVPress_Knorm,AdaKVPress,45,534,0.08426966292134831,0.6465946502057613,0.40607253086419753,0.5452537892948338,0.14066418576027584,,
RULER-16K,0.25,ChunkKVPress_Knorm,QuantizedCache,434,897,0.483835005574136,0.4653001792114695,1.0,1.3880780268710338,2.6797851784068025,,
RULER-16K,0.25,AdaKVPress,QuantizedCache,131,883,0.14835787089467722,0.48433391645462254,1.0,0.4086570547573384,2.5383140853798682,,
RULER-16K,0.5,StreamingLLMPress,SnapKVPress,18,571,0.03152364273204904,0.013888888888888888,0.6020961934156379,1.5505942664404664,0.14831371011068972,0.003199851650224102,0.044263433146101296
RULER-16K,0.5,StreamingLLMPress,TOVAPress,18,570,0.031578947368421054,0.027777777777777776,0.575,1.5623072058789769,0.20134837258981458,0.010228157142003116,0.14522312345516233
RULER-16K,0.5,StreamingLLMPress,KeyDiffPress,57,612,0.09313725490196079,0.15526315789473683,0.6126908706952566,1.5251409161754772,0.5944839365871126,0.06294568804568074,0.057759557203864345
RULER-16K,0.5,StreamingLLMPress,ThinKPress,555,951,0.583596214511041,0.15981981981981982,1.0,2.1071814186862676,8.002710413759104,0.07291800590507246,
RULER-16K,0.5,StreamingLLMPress,ChunkKVPress_Knorm,174,691,0.25180897250361794,0.2761494252873563,0.6747392507449979,2.6204294706504045,0.6581398078678794,0.13519791003545142,
RULER-16K,0.5,StreamingLLMPress,AdaKVPress,11,567,0.019400352733686066,0.0,0.5619318181818183,0.6667862416762627,-0.03496720891824312,0.0,
RULER-16K,0.5,StreamingLLMPress,QuantizedCache,15,568,0.02640845070422535,0.11666666666666667,1.0,0.007356431478748545,0.001874831438996812,0.04150083806449801,
RULER-16K,0.5,SnapKVPress,TOVAPress,8,59,0.13559322033898305,0.6666377314814815,0.8393518518518519,-0.00010215148931713713,-0.00019827916577891402,0.03977533930595438,0.22365794791252921
RULER-16K,0.5,SnapKVPress,KeyDiffPress,6,142,0.04225352112676056,0.5888310185185185,0.926099537037037,-0.03141062916878449,0.03268666049176735,0.03879245166955591,0.10690744163762517
RULER-16K,0.5,SnapKVPress,ThinKPress,34,951,0.035751840168243953,0.6386199618736383,1.0,0.1169118975661817,7.010288032844496,0.04119598021836834,
RULER-16K,0.5,SnapKVPress,ChunkKVPress_Knorm,15,329,0.04559270516717325,0.5748842592592592,0.6639506172839506,0.029442780104881786,0.31457474794372425,0.035510657618276605,
RULER-16K,0.5,SnapKVPress,AdaKVPress,18,39,0.46153846153846156,0.6032793209876544,0.5943222736625514,0.054145452949027395,-0.021966214320660163,0.03829796127826247,
